transaction_id,user_id,timestamp,transaction_amount,merchant_category,merchant_id,payment_method,device_id,device_type,city,hour_of_day,day_of_week,is_weekend,transaction_gap_minutes,daily_transaction_count,average_amount_last_7_days,std_amount_last_7_days,merchant_visit_frequency,device_usage_frequency,location_visit_frequency,new_device,new_location,new_merchant,distance_from_last_transaction_km,label
TXN08-00001,8,2026-05-12 09:32:00,3941.72,Amazon,80003,Card,DEV-08-1,Android,Hyderabad,9,1,0,0.0,1,3941.72,0.0,1,1,1,1,1,1,0.0,0
TXN08-00002,8,2026-05-12 09:37:57,1824.59,Flipkart,80021,UPI,DEV-08-1,Android,Hyderabad,9,1,0,5.95,2,3941.72,0.0,1,2,2,0,0,1,0.0,0
TXN08-00003,8,2026-05-12 09:39:17,2917.38,Myntra,80004,UPI,DEV-08-1,Android,Hyderabad,9,1,0,1.33,3,2883.15,1058.56,1,3,3,0,0,1,0.0,0
TXN08-00004,8,2026-05-12 09:39:59,1142.24,Flipkart,80010,Card,DEV-08-1,Android,Hyderabad,9,1,0,0.7,4,2894.56,864.47,1,4,4,0,0,1,0.0,0
TXN08-00005,8,2026-05-12 09:43:53,3705.5,Electronics,80020,Card,DEV-08-1,Android,Hyderabad,9,1,0,3.9,5,2456.48,1065.94,1,5,5,0,0,1,0.0,0
TXN08-00006,8,2026-05-12 09:44:26,3847.1,Amazon,80006,Card,DEV-08-1,Android,Hyderabad,9,1,0,0.55,6,2706.29,1076.37,1,6,6,0,0,1,0.0,0
TXN08-00007,8,2026-05-12 09:51:11,3296.15,Electronics,80001,Card,DEV-08-1,Android,Hyderabad,9,1,0,6.75,7,2896.42,1070.63,1,7,7,0,0,1,0.0,0
TXN08-00008,8,2026-05-12 10:33:12,2175.25,Electronics,80008,UPI,DEV-08-2,iPhone,Hyderabad,10,1,0,42.02,8,2953.53,1001.03,1,1,8,1,0,1,0.0,0
TXN08-00009,8,2026-05-12 10:36:25,1401.12,Myntra,80017,UPI,DEV-08-1,Android,Hyderabad,10,1,0,3.22,9,2856.24,971.11,1,8,9,0,0,1,0.0,0
TXN08-00010,8,2026-05-12 10:40:05,5648.71,Myntra,80009,UPI,DEV-08-2,iPhone,Hyderabad,10,1,0,3.67,10,2694.56,1023.42,1,2,10,0,0,1,0.0,0
TXN08-00011,8,2026-05-12 10:59:17,1931.4,Flipkart,80002,UPI,DEV-08-1,Android,Hyderabad,10,1,0,19.2,11,2989.98,1314.57,1,9,11,0,0,1,0.0,0
TXN08-00012,8,2026-05-12 11:08:23,4113.5,Flipkart,80002,UPI,DEV-08-1,Android,Hyderabad,11,1,0,9.1,12,2893.74,1289.8,2,10,12,0,0,0,0.0,0
TXN08-00013,8,2026-05-12 11:12:25,3590.62,Flipkart,80012,UPI,DEV-08-2,iPhone,Hyderabad,11,1,0,4.03,13,2995.39,1280.08,1,3,13,0,0,1,0.0,0
TXN08-00014,8,2026-05-12 11:58:56,2863.61,Amazon,80003,Card,DEV-08-1,Android,Hyderabad,11,1,0,46.52,14,3041.18,1240.05,2,11,14,0,0,0,0.0,0
TXN08-00015,8,2026-05-12 11:59:18,2899.25,Flipkart,80019,Card,DEV-08-2,iPhone,Hyderabad,11,1,0,0.37,15,3028.49,1195.82,1,4,15,0,0,1,0.0,0
TXN08-00016,8,2026-05-12 12:16:58,725.48,Electronics,80022,Card,DEV-08-1,Android,Hyderabad,12,1,0,17.67,16,3019.88,1155.72,1,12,16,0,0,1,0.0,0
TXN08-00017,8,2026-05-12 12:33:32,1237.99,Electronics,80001,UPI,DEV-08-3,iPhone,Hyderabad,12,1,0,16.57,17,2876.48,1249.26,2,1,17,1,0,0,0.0,0
TXN08-00018,8,2026-05-12 12:51:57,4233.32,Flipkart,80002,Card,DEV-08-2,iPhone,Hyderabad,12,1,0,18.42,18,2780.09,1271.8,3,5,18,0,0,0,0.0,0
TXN08-00019,8,2026-05-12 13:08:34,3708.76,Amazon,80018,UPI,DEV-08-2,iPhone,Hyderabad,13,1,0,16.62,19,2860.83,1280.01,1,6,19,0,0,1,0.0,0
TXN08-00020,8,2026-05-12 13:15:32,2824.42,Flipkart,80019,Card,DEV-08-1,Android,Hyderabad,13,1,0,6.97,20,2905.46,1260.18,2,13,20,0,0,0,0.0,0
TXN08-00021,8,2026-05-12 13:15:55,524.02,Myntra,80011,UPI,DEV-08-1,Android,Hyderabad,13,1,0,0.38,21,2901.41,1228.4,1,14,21,0,0,1,0.0,0
TXN08-00022,8,2026-05-12 13:21:27,3197.28,Myntra,80004,UPI,DEV-08-1,Android,Hyderabad,13,1,0,5.53,22,2788.2,1301.32,2,15,22,0,0,0,0.0,0
TXN08-00023,8,2026-05-12 13:22:17,672.24,Myntra,80009,UPI,DEV-08-1,Android,Hyderabad,13,1,0,0.83,23,2806.79,1274.25,2,16,23,0,0,0,0.0,0
TXN08-00024,8,2026-05-12 13:22:22,6000.0,Myntra,80004,UPI,DEV-08-3,iPhone,Hyderabad,13,1,0,0.08,24,2713.98,1320.08,3,2,24,0,0,0,0.0,0
TXN08-00025,8,2026-05-12 13:24:27,2828.11,Electronics,80001,UPI,DEV-08-3,iPhone,Hyderabad,13,1,0,2.08,25,2850.9,1449.54,3,3,25,0,0,0,0.0,0
TXN08-00026,8,2026-05-12 13:25:15,2627.97,Myntra,80004,UPI,DEV-08-1,Android,Hyderabad,13,1,0,0.8,26,2849.99,1420.26,4,17,26,0,0,0,0.0,0
TXN08-00027,8,2026-05-12 13:26:43,1200.3,Amazon,80016,UPI,DEV-08-1,Android,Hyderabad,13,1,0,1.47,27,2841.45,1393.33,1,18,27,0,0,1,0.0,0
TXN08-00028,8,2026-05-12 13:38:18,1585.31,Electronics,80001,Card,DEV-08-1,Android,Hyderabad,13,1,0,11.58,28,2780.67,1401.98,4,19,28,0,0,0,0.0,0
