transaction_id,user_id,timestamp,transaction_amount,merchant_category,merchant_id,payment_method,device_id,device_type,city,hour_of_day,day_of_week,is_weekend,transaction_gap_minutes,daily_transaction_count,average_amount_last_7_days,std_amount_last_7_days,merchant_visit_frequency,device_usage_frequency,location_visit_frequency,new_device,new_location,new_merchant,distance_from_last_transaction_km,label
TXN04-00001,4,2026-05-12 08:09:28,29105.38,Fuel,40009,Card,DEV-04-2,iPhone,Mumbai,8,1,0,0.0,1,29105.38,0.0,1,1,1,1,1,1,0.0,0
TXN04-00002,4,2026-05-12 08:35:08,10503.52,Hotels,40001,UPI,DEV-04-1,iPhone,Pune,8,1,0,25.67,2,29105.38,0.0,1,1,1,1,1,1,120.15,0
TXN04-00003,4,2026-05-12 09:06:10,33388.98,Office,40028,UPI,DEV-04-1,iPhone,Pune,9,1,0,31.03,3,19804.45,9300.93,1,2,2,0,0,1,0.0,0
TXN04-00004,4,2026-05-12 10:19:51,29643.35,Office,40017,UPI,DEV-04-1,iPhone,Mumbai,10,1,0,73.68,4,24332.63,9933.8,1,3,2,0,0,1,120.15,0
TXN04-00005,4,2026-05-12 10:22:24,15353.79,Hotels,40006,Card,DEV-04-1,iPhone,Mumbai,10,1,0,2.55,5,25660.31,8904.97,1,4,3,0,0,1,0.0,0
TXN04-00006,4,2026-05-12 10:24:46,41260.39,Hotels,40013,Card,DEV-04-2,iPhone,Delhi,10,1,0,2.37,6,23599.0,8968.54,1,2,1,0,1,1,1153.24,0
TXN04-00007,4,2026-05-12 10:28:48,23086.36,Hotels,40019,UPI,DEV-04-1,iPhone,Mumbai,10,1,0,4.03,7,26542.57,10504.84,1,5,4,0,0,1,1153.24,0
TXN04-00008,4,2026-05-12 10:39:30,6369.6,Fuel,40026,Bank Transfer,DEV-04-1,iPhone,Mumbai,10,1,0,10.7,8,26048.82,9800.5,1,6,5,0,0,1,0.0,0
TXN04-00009,4,2026-05-12 11:12:27,3277.1,Fuel,40009,UPI,DEV-04-1,iPhone,Mumbai,11,1,0,32.95,9,23588.92,11242.84,2,7,6,0,0,0,0.0,0
TXN04-00010,4,2026-05-12 12:02:03,16622.38,Suppliers,40003,Card,DEV-04-1,iPhone,Pune,12,1,0,49.6,10,21332.05,12373.54,1,8,3,0,0,1,120.15,0
TXN04-00011,4,2026-05-12 12:19:50,4967.29,Suppliers,40003,Card,DEV-04-1,iPhone,Mumbai,12,1,0,17.78,11,20861.08,11823.3,2,9,7,0,0,0,120.15,0
TXN04-00012,4,2026-05-12 12:19:50,34283.49,Hotels,40010,Bank Transfer,DEV-04-1,iPhone,Mumbai,12,1,0,0.0,12,19416.19,12163.85,1,10,8,0,0,1,0.0,0
TXN04-00013,4,2026-05-12 12:52:07,14616.71,Fuel,40009,Card,DEV-04-1,iPhone,Mumbai,12,1,0,32.28,13,20655.14,12349.66,3,11,9,0,0,0,0.0,0
TXN04-00014,4,2026-05-12 12:53:09,50000.0,Bank Transfer,40001,Bank Transfer,DEV-04-1,iPhone,Mumbai,12,1,0,1.03,14,20190.64,11973.77,2,12,10,0,0,0,0.0,1
TXN04-00015,4,2026-05-12 12:56:09,45279.6,Bank Transfer,40001,Bank Transfer,DEV-04-1,iPhone,Mumbai,12,1,0,3.0,15,22319.88,13858.86,3,13,11,0,0,0,0.0,1
TXN04-00016,4,2026-05-12 12:59:09,50000.0,Bank Transfer,40001,Bank Transfer,DEV-04-1,iPhone,Mumbai,12,1,0,3.0,16,23850.53,14562.41,4,14,12,0,0,0,0.0,1
TXN04-00017,4,2026-05-12 13:20:10,22222.98,Fuel,40009,UPI,DEV-04-2,iPhone,Mumbai,13,1,0,21.02,17,25484.87,15455.61,4,3,13,0,0,0,0.0,0
TXN04-00018,4,2026-05-12 13:40:01,50000.0,Fuel,40002,Bank Transfer,DEV-04-2,iPhone,Mumbai,13,1,0,19.85,18,25293.0,15013.78,1,4,14,0,0,1,0.0,0
TXN04-00019,4,2026-05-12 14:41:34,31968.48,Suppliers,40024,UPI,DEV-04-2,iPhone,Pune,14,1,0,61.55,19,26665.61,15649.91,1,5,4,0,0,1,120.15,0
TXN04-00020,4,2026-05-12 14:45:19,6561.15,Hotels,40030,Card,DEV-04-1,iPhone,Mumbai,14,1,0,3.75,20,26944.71,15278.46,1,15,15,0,0,1,120.15,0
TXN04-00021,4,2026-05-12 15:14:26,12181.88,Office,40017,Bank Transfer,DEV-04-1,iPhone,Delhi,15,1,0,29.12,21,25925.53,15540.12,2,16,2,0,0,0,1153.24,0
TXN04-00022,4,2026-05-12 15:20:07,7099.76,Office,40008,Card,DEV-04-1,iPhone,Mumbai,15,1,0,5.68,22,25271.07,15445.45,1,17,16,0,0,1,1153.24,0
TXN04-00023,4,2026-05-12 15:57:09,31797.73,Fuel,40009,Card,DEV-04-1,iPhone,Mumbai,15,1,0,37.03,23,24445.1,15557.79,5,18,17,0,0,0,0.0,0
TXN04-00024,4,2026-05-12 16:10:11,25986.05,Office,40008,Bank Transfer,DEV-04-1,iPhone,Mumbai,16,1,0,13.03,24,24764.78,15289.52,2,19,18,0,0,0,0.0,0
TXN04-00025,4,2026-05-12 16:20:23,8200.7,Suppliers,40003,UPI,DEV-04-1,iPhone,Mumbai,16,1,0,10.2,25,24815.67,14969.59,3,20,19,0,0,0,0.0,0
TXN04-00026,4,2026-05-12 16:35:39,19661.61,Suppliers,40003,Card,DEV-04-1,iPhone,Mumbai,16,1,0,15.27,26,24151.07,15024.17,4,21,20,0,0,0,0.0,0
TXN04-00027,4,2026-05-12 16:36:49,13184.82,Suppliers,40022,UPI,DEV-04-2,iPhone,Mumbai,16,1,0,1.17,27,23978.4,14757.69,1,6,21,0,0,1,0.0,0
TXN04-00028,4,2026-05-12 16:45:17,22111.52,Suppliers,40003,Bank Transfer,DEV-04-2,iPhone,Delhi,16,1,0,8.47,28,23578.63,14624.57,5,7,3,0,0,0,1153.24,0
TXN04-00029,4,2026-05-12 16:51:08,29524.19,Suppliers,40003,Card,DEV-04-1,iPhone,Delhi,16,1,0,5.85,29,23526.24,14363.63,6,22,4,0,0,0,0.0,0
TXN04-00030,4,2026-05-12 17:07:03,3315.41,Suppliers,40003,Card,DEV-04-1,iPhone,Mumbai,17,1,0,15.92,30,23733.06,14156.17,7,23,22,0,0,0,1153.24,0
TXN04-00031,4,2026-05-12 17:09:27,40849.32,Office,40031,UPI,DEV-04-1,iPhone,Mumbai,17,1,0,2.4,31,23052.47,14392.71,1,24,23,0,0,1,0.0,0
TXN04-00032,4,2026-05-12 17:39:47,22349.64,Fuel,40009,Card,DEV-04-2,iPhone,Mumbai,17,1,0,30.33,32,23626.57,14503.63,6,8,24,0,0,0,0.0,0
TXN04-00033,4,2026-05-12 17:53:20,8739.97,Hotels,40010,Card,DEV-04-2,iPhone,Mumbai,17,1,0,13.55,33,23586.66,14276.94,2,9,25,0,0,0,0.0,0
TXN04-00034,4,2026-05-12 18:05:40,11014.43,Fuel,40002,UPI,DEV-04-1,iPhone,Mumbai,18,1,0,12.33,34,23136.76,14287.46,2,25,26,0,0,0,0.0,0
TXN04-00035,4,2026-05-12 18:06:49,27485.15,Fuel,40002,UPI,DEV-04-1,iPhone,Mumbai,18,1,0,1.15,35,22780.22,14224.02,3,26,27,0,0,0,0.0,0
TXN04-00036,4,2026-05-12 18:11:30,23214.0,Hotels,40006,Bank Transfer,DEV-04-1,iPhone,Delhi,18,1,0,4.68,36,22914.65,14041.24,2,27,5,0,0,0,1153.24,0
TXN04-00037,4,2026-05-12 18:11:34,6629.95,Fuel,40026,Bank Transfer,DEV-04-1,iPhone,Mumbai,18,1,0,0.07,37,22922.96,13844.94,2,28,28,0,0,0,1153.24,0
TXN04-00038,4,2026-05-12 18:27:03,41586.45,Fuel,40002,UPI,DEV-04-1,iPhone,Mumbai,18,1,0,15.48,38,22482.61,13909.79,4,29,29,0,0,0,0.0,0
TXN04-00039,4,2026-05-12 19:02:58,15536.87,Fuel,40009,Bank Transfer,DEV-04-1,iPhone,Mumbai,19,1,0,35.92,39,22985.35,14062.08,7,30,30,0,0,0,0.0,0
