transaction_id,user_id,timestamp,transaction_amount,merchant_category,merchant_id,payment_method,device_id,device_type,city,hour_of_day,day_of_week,is_weekend,transaction_gap_minutes,daily_transaction_count,average_amount_last_7_days,std_amount_last_7_days,merchant_visit_frequency,device_usage_frequency,location_visit_frequency,new_device,new_location,new_merchant,distance_from_last_transaction_km,label
TXN03-00001,3,2026-05-12 00:15:06,1500.0,Fuel,30001,UPI,DEV-03-1,Android,Chennai,0,1,0,0.0,1,1500.0,0.0,1,1,1,1,1,1,0.0,1
TXN03-00002,3,2026-05-12 00:40:29,960.06,Fuel,30001,UPI,DEV-03-1,Android,Chennai,0,1,0,25.38,2,1500.0,0.0,2,2,2,0,0,0,0.0,1
TXN03-00003,3,2026-05-12 00:49:00,277.17,Fuel,30001,UPI,DEV-03-1,Android,Chennai,0,1,0,8.52,3,1230.03,269.97,3,3,3,0,0,0,0.0,1
TXN03-00004,3,2026-05-12 03:17:44,106.13,Gaming Subscription,30001,UPI,DEV-03-1,Android,Chennai,3,1,0,148.73,4,912.41,500.35,4,4,4,0,0,0,0.0,1
TXN03-00005,3,2026-05-12 08:19:26,164.43,Grocery,30006,UPI,DEV-03-1,Android,Chennai,8,1,0,301.7,5,710.84,556.47,1,5,5,0,0,1,0.0,0
TXN03-00006,3,2026-05-12 08:34:40,422.28,Household,30005,Card,DEV-03-1,Android,Chennai,8,1,0,15.23,6,601.56,543.6,1,6,6,0,0,1,0.0,0
TXN03-00007,3,2026-05-12 08:37:36,594.97,Grocery,30003,Card,DEV-03-1,Android,Chennai,8,1,0,2.93,7,571.68,500.71,1,7,7,0,0,1,0.0,0
TXN03-00008,3,2026-05-12 08:40:38,906.45,Grocery,30001,UPI,DEV-03-1,Android,Chennai,8,1,0,3.03,8,575.01,463.64,5,8,8,0,0,0,0.0,0
TXN03-00009,3,2026-05-12 08:43:57,251.62,Household,30004,UPI,DEV-03-1,Android,Chennai,8,1,0,3.32,9,616.44,447.33,1,9,9,0,0,1,0.0,0
TXN03-00010,3,2026-05-12 09:17:31,1123.86,Pharmacy,30008,Card,DEV-03-1,Android,Chennai,9,1,0,33.57,10,575.9,437.06,1,10,10,0,0,1,0.0,0
TXN03-00011,3,2026-05-12 09:21:22,1500.0,Household,30009,UPI,DEV-03-1,Android,Chennai,9,1,0,3.85,11,630.7,446.03,1,11,11,0,0,1,0.0,0
TXN03-00012,3,2026-05-12 09:29:30,729.97,Pharmacy,30008,UPI,DEV-03-1,Android,Chennai,9,1,0,8.13,12,709.72,493.26,2,12,12,0,0,0,0.0,0
TXN03-00013,3,2026-05-12 09:31:19,1500.0,Grocery,30007,UPI,DEV-03-1,Android,Chennai,9,1,0,1.82,13,711.41,472.3,1,13,13,0,0,1,0.0,0
TXN03-00014,3,2026-05-12 09:56:00,1500.0,Household,30004,Card,DEV-03-1,Android,Chennai,9,1,0,24.68,14,772.07,500.06,2,14,14,0,0,0,0.0,0
TXN03-00015,3,2026-05-12 10:01:27,610.85,Grocery,30001,Card,DEV-03-1,Android,Chennai,10,1,0,5.45,15,824.07,517.05,6,15,15,0,0,0,0.0,0
TXN03-00016,3,2026-05-12 10:30:02,797.68,Grocery,30002,Card,DEV-03-1,Android,Chennai,10,1,0,28.58,16,809.85,502.34,1,16,16,0,0,1,0.0,0
TXN03-00017,3,2026-05-12 10:41:36,985.66,Pharmacy,30008,UPI,DEV-03-1,Android,Chennai,10,1,0,11.57,17,809.09,486.4,3,17,17,0,0,0,0.0,0
TXN03-00018,3,2026-05-12 11:13:33,699.87,Household,30004,UPI,DEV-03-1,Android,Chennai,11,1,0,31.95,18,819.48,473.7,3,18,18,0,0,0,0.0,0
TXN03-00019,3,2026-05-12 11:19:30,870.4,Pharmacy,30008,Card,DEV-03-1,Android,Chennai,11,1,0,5.95,19,812.83,461.17,4,19,19,0,0,0,0.0,0
TXN03-00020,3,2026-05-12 11:27:33,1219.69,Grocery,30003,UPI,DEV-03-1,Android,Chennai,11,1,0,8.05,20,815.86,449.06,2,20,20,0,0,0,0.0,0
TXN03-00021,3,2026-05-12 11:36:04,1327.27,Household,30009,UPI,DEV-03-1,Android,Chennai,11,1,0,8.52,21,836.05,446.45,2,21,21,0,0,0,0.0,0
TXN03-00022,3,2026-05-12 11:49:27,219.13,Household,30005,UPI,DEV-03-1,Android,Chennai,11,1,0,13.38,22,859.45,448.07,2,22,22,0,0,0,0.0,0
TXN03-00023,3,2026-05-12 11:50:40,645.74,Grocery,30010,UPI,DEV-03-1,Android,Chennai,11,1,0,1.22,23,830.34,457.64,1,23,23,0,0,1,0.0,0
TXN03-00024,3,2026-05-12 11:54:24,577.34,Grocery,30002,UPI,DEV-03-1,Android,Chennai,11,1,0,3.73,24,822.31,449.16,2,24,24,0,0,0,0.0,0
TXN03-00025,3,2026-05-12 12:01:11,1190.28,Household,30004,Card,DEV-03-1,Android,Chennai,12,1,0,6.78,25,812.11,442.42,4,25,25,0,0,0,0.0,0
TXN03-00026,3,2026-05-12 12:34:56,987.68,Household,30005,UPI,DEV-03-1,Android,Chennai,12,1,0,33.75,26,827.23,439.77,3,26,26,0,0,0,0.0,0
TXN03-00027,3,2026-05-12 12:37:05,263.21,Grocery,30001,Card,DEV-03-1,Android,Chennai,12,1,0,2.15,27,833.4,432.33,7,27,27,0,0,0,0.0,0
TXN03-00028,3,2026-05-12 12:43:47,356.64,Pharmacy,30008,UPI,DEV-03-1,Android,Chennai,12,1,0,6.7,28,812.29,437.7,5,28,28,0,0,0,0.0,0
TXN03-00029,3,2026-05-12 12:44:27,274.39,Pharmacy,30008,UPI,DEV-03-1,Android,Chennai,12,1,0,0.67,29,796.01,438.05,6,29,29,0,0,0,0.0,0
TXN03-00030,3,2026-05-12 12:45:10,650.75,Household,30004,Card,DEV-03-1,Android,Chennai,12,1,0,0.72,30,778.03,440.83,5,30,30,0,0,0,0.0,0
TXN03-00031,3,2026-05-12 12:51:49,460.32,Grocery,30001,Card,DEV-03-1,Android,Chennai,12,1,0,6.65,31,773.78,434.02,8,31,31,0,0,0,0.0,0
TXN03-00032,3,2026-05-12 12:54:25,1167.96,Pharmacy,30008,Card,DEV-03-1,Android,Chennai,12,1,0,2.6,32,763.67,430.54,7,32,32,0,0,0,0.0,0
TXN03-00033,3,2026-05-12 12:54:56,743.2,Household,30011,UPI,DEV-03-1,Android,Chennai,12,1,0,0.52,33,776.31,429.56,1,33,33,0,0,1,0.0,0
TXN03-00034,3,2026-05-12 13:00:29,797.06,Household,30004,UPI,DEV-03-1,Android,Chennai,13,1,0,5.55,34,775.3,423.04,6,34,34,0,0,0,0.0,0
TXN03-00035,3,2026-05-12 13:09:45,618.41,Grocery,30001,Card,DEV-03-1,Android,Chennai,13,1,0,9.27,35,775.94,416.79,9,35,35,0,0,0,0.0,0
TXN03-00036,3,2026-05-12 13:11:35,966.05,Household,30011,UPI,DEV-03-1,Android,Chennai,13,1,0,1.83,36,771.44,411.63,2,36,36,0,0,0,0.0,0
TXN03-00037,3,2026-05-12 13:18:13,858.1,Pharmacy,30008,Card,DEV-03-1,Android,Chennai,13,1,0,6.63,37,776.85,407.13,8,37,37,0,0,0,0.0,0
TXN03-00038,3,2026-05-12 13:45:30,905.85,Household,30004,UPI,DEV-03-1,Android,Chennai,13,1,0,27.28,38,779.04,401.81,7,38,38,0,0,0,0.0,0
TXN03-00039,3,2026-05-12 14:04:25,435.62,Household,30009,Card,DEV-03-2,Android,Chennai,14,1,0,18.92,39,782.38,397.0,3,1,39,1,0,0,0.0,0
TXN03-00040,3,2026-05-12 14:24:55,729.06,Household,30005,UPI,DEV-03-2,Android,Chennai,14,1,0,20.5,40,773.49,395.69,4,2,40,0,0,0,0.0,0
TXN03-00041,3,2026-05-12 15:32:30,1012.81,Grocery,30002,Card,DEV-03-3,Android,Chennai,15,1,0,67.58,41,772.38,390.78,3,1,41,1,0,0,0.0,0
TXN03-00042,3,2026-05-12 15:45:35,460.27,Grocery,30001,UPI,DEV-03-1,Android,Chennai,15,1,0,13.08,42,778.24,387.76,10,39,42,0,0,0,0.0,0
