transaction_id,user_id,timestamp,transaction_amount,merchant_category,merchant_id,payment_method,device_id,device_type,city,hour_of_day,day_of_week,is_weekend,transaction_gap_minutes,daily_transaction_count,average_amount_last_7_days,std_amount_last_7_days,merchant_visit_frequency,device_usage_frequency,location_visit_frequency,new_device,new_location,new_merchant,distance_from_last_transaction_km,label
TXN10-00001,10,2026-05-12 00:34:42,50000.0,Luxury Goods,100001,Card,DEV-10-1,iPhone,Mumbai,0,1,0,0.0,1,50000.0,0.0,1,1,1,1,1,1,0.0,1
TXN10-00002,10,2026-05-12 05:05:00,5658.36,Airlines,100026,Card,DEV-10-2,iPhone,Delhi,5,1,0,270.3,2,50000.0,0.0,1,1,1,1,1,1,1153.24,0
TXN10-00003,10,2026-05-12 05:18:21,9499.55,Airlines,100013,UPI,DEV-10-2,iPhone,Bangalore,5,1,0,13.35,3,27829.18,22170.82,1,2,1,0,1,1,1750.11,0
TXN10-00004,10,2026-05-12 05:27:19,5908.91,Food,100015,Card,DEV-10-1,iPhone,Bangalore,5,1,0,8.97,4,21719.3,20058.86,1,2,2,0,0,1,0.0,0
TXN10-00005,10,2026-05-12 06:21:17,4452.58,Airlines,100007,Card,DEV-10-2,iPhone,Delhi,6,1,0,53.97,5,17766.71,18671.84,1,3,2,0,0,1,1750.11,0
TXN10-00006,10,2026-05-12 06:35:49,5340.76,Hotels,100020,Card,DEV-10-1,iPhone,Hyderabad,6,1,0,14.53,6,15103.88,17529.19,1,3,1,0,1,1,1266.53,0
TXN10-00007,10,2026-05-12 06:52:25,1540.43,Food,100003,Card,DEV-10-1,iPhone,Delhi,6,1,0,16.6,7,13476.69,16410.34,1,4,3,0,0,1,1266.53,0
TXN10-00008,10,2026-05-12 07:16:31,3761.08,Food,100015,Card,DEV-10-1,iPhone,Mumbai,7,1,0,24.1,8,11771.51,15756.7,2,5,2,0,0,0,1153.24,0
TXN10-00009,10,2026-05-12 07:22:07,7393.65,Hotels,100005,Card,DEV-10-2,iPhone,Chennai,7,1,0,5.6,9,10770.21,14975.24,1,4,1,0,1,1,1033.1,0
TXN10-00010,10,2026-05-12 07:38:00,5756.55,Food,100004,UPI,DEV-10-1,iPhone,Mumbai,7,1,0,15.88,10,10395.04,14158.61,1,6,3,0,0,1,1033.1,0
TXN10-00011,10,2026-05-12 07:46:48,5872.63,Taxi,100001,UPI,DEV-10-1,iPhone,Chennai,7,1,0,8.8,11,9931.19,13503.93,2,7,2,0,0,0,1033.1,0
TXN10-00012,10,2026-05-12 08:06:19,2058.98,Food,100003,Card,DEV-10-2,iPhone,Hyderabad,8,1,0,19.52,12,9562.23,12928.25,2,5,2,0,0,0,515.24,0
TXN10-00013,10,2026-05-12 08:26:57,4063.22,Food,100003,UPI,DEV-10-1,iPhone,Mumbai,8,1,0,20.63,13,8936.96,12550.37,3,8,4,0,0,0,621.46,0
TXN10-00014,10,2026-05-12 08:46:45,4960.17,Food,100011,Card,DEV-10-2,iPhone,Delhi,8,1,0,19.8,14,8562.05,12127.74,1,6,4,0,0,1,1153.24,0
TXN10-00015,10,2026-05-12 08:56:12,3231.55,Airlines,100013,UPI,DEV-10-2,iPhone,Chennai,8,1,0,9.45,15,8304.78,11723.34,2,7,3,0,0,0,1767.65,0
TXN10-00016,10,2026-05-12 09:02:02,4076.81,Food,100016,Card,DEV-10-2,iPhone,Kochi,9,1,0,5.83,16,7966.56,11396.31,1,8,1,0,1,1,559.49,0
TXN10-00017,10,2026-05-12 09:13:19,9396.76,Hotels,100005,UPI,DEV-10-1,iPhone,Goa,9,1,0,11.28,17,7723.45,11074.52,2,9,1,0,1,0,640.58,0
TXN10-00018,10,2026-05-12 09:35:05,7280.64,Airlines,100026,Card,DEV-10-2,iPhone,Bangalore,9,1,0,21.77,18,7821.88,10751.08,2,9,3,0,0,0,454.99,0
TXN10-00019,10,2026-05-12 11:42:47,1591.5,Airlines,100009,Card,DEV-10-2,iPhone,Mumbai,11,1,0,127.7,19,7791.81,10448.91,1,10,5,0,0,1,845.32,0
